Change,Description,Date
Updates to resource,"The following resource was updated: AWS::SSO::InstanceAccessControlAttributeConfiguration. AWS::SSO::InstanceAccessControlAttributeConfigurationUse the AWS::SSO::InstanceAccessControlAttributeConfiguration resource to configure attribute-based access control (ABAC) in AWS SSO.","January 7, 2021"
Updated resources,"The following resources were updated: AWS::IoTWireless::Destination, AWS::IoTWireless::DeviceProfile, AWS::IoTWireless::ServiceProfile, AWS::IoTWireless::WirelessDevice, and AWS::IoTWireless::WirelessGateway. AWS::IoTWireless::DestinationUse the Destination resource to specify a destination for a wireless device to use. AWS::IoTWireless::DeviceProfileUse the DeviceProfile resource to specify a device profile for a wireless device to use. AWS::IoTWireless::ServiceProfileUse the ServiceProfile resource to specify a service profile for a wireless device to use. AWS::IoTWireless::WirelessDeviceUse the WirelessDevice resource to specify a wireless device in an AWS IoT Core for LoRaWAN solution. AWS::IoTWireless::WirelessGatewayUse the WirelessGateway resource to specify a wireless gateway in an AWS IoT Core for LoRaWAN solution.","January 7, 2021"
Updated resource,"The following resources were updated: AWS::FMS::Policy AWS::FMS::PolicyThe AWS::FMS::Policy resource now allows you to manage AWS Network Firewall policies.","January 7, 2021"
Updated resource,"The following resource was updated: AWS::EC2::LaunchTemplate AWS::EC2::LaunchTemplateUse the Throughput property to specify the throughput to provision for gp3 volumes.","January 7, 2021"
Updated resource,"The following resource was updated: AWS::ApiGatewayV2::Integration. AWS::ApiGatewayV2::IntegrationUse the AWS::ApiGatewayV2::Integration resource to configure request and response parameter mapping for an HTTP API.","January 7, 2021"
New resources,"The following resources were added: AWS::MediaConnect::Flow, AWS::MediaConnect::FlowEntitlement, AWS::MediaConnect::FlowOutput, AWS::MediaConnect::FlowSource, and AWS::MediaConnect::FlowVpcInterface. AWS::MediaConnect::FlowUse the AWS::MediaConnect::Flow resource to create a connection between one or more video sources and one or more outputs. AWS::MediaConnect::FlowEntitlementUse the AWS::MediaConnect::FlowEntitlement resource to grant permission to another AWS account to allow access to the content in a specific AWS Elemental MediaConnect flow. AWS::MediaConnect::FlowOutputUse the AWS::MediaConnect::FlowOutput resource to define the destination address, protocol, and port that you want MediaConnect to send the ingested video to. AWS::MediaConnect::FlowSourceUse the AWS::MediaConnect::FlowSource resource to define where the external video content comes from. AWS::MediaConnect::FlowVpcInterfaceUse the AWS::MediaConnect::FlowVpcInterface resource to create a connection between your MediaConnect flow and a virtual private cloud (VPC) that you created using the Amazon Virtual Private Cloud service.","January 7, 2021"
New resources,"The following resources were added: AWS::Route53::DNSSEC and AWS::Route53::KeySigningKey. AWS::Route53::DNSSECUse the AWS::Route53::DNSSEC resource to enable DNSSEC signing for a hosted zone.  AWS::Route53::KeySigningKeyUse the AWS::Route53::KeySigningKey resource to specify configuration settings for a key-signing key (KSK) that's associated with a hosted zone.","January 7, 2021"
New resource,"The following resource was added: AWS::Route53Resolver::ResolverDNSSECConfig. AWS::Route53Resolver::ResolverDNSSECConfigUse the AWS::Route53Resolver::ResolverDNSSECConfig resource to specify configuration for DNSSEC validation.","January 7, 2021"
New Resources,"The following resources were added: AWS::DataSync::Agent, AWS::DataSync::LocationEFS, AWS::DataSync::LocationFSxWindows, AWS::DataSync::LocationNFS, AWS::DataSync::LocationObjectStorage, AWS::DataSync::LocationS3, AWS::DataSync::LocationSMB, and AWS::DataSync::Task. AWS::DataSync::AgentUse the AWS::DataSync::Agent resource to specify an AWS DataSync agent. AWS::DataSync::LocationEFSUse the AWS::DataSync::LocationEFS resource to specify an Amazon EFS location. AWS::DataSync::LocationFSxWindowsUse the AWS::DataSync::LocationFSxWindows resource to specify an Amazon FSx for Windows file system. AWS::DataSync::LocationNFSUse the AWS::DataSync::LocationNFS resource to specify a file system on a Network File System (NFS) server. AWS::DataSync::LocationObjectStorageUse the AWS::DataSync::LocationObjectStorage resource to specify an endpoint for a self-managed object storage bucket. AWS::DataSync::LocationS3Use the AWS::DataSync::LocationS3 resource to specify an endpoint for an Amazon S3 bucket. AWS::DataSync::LocationSMBUse the AWS::DataSync::LocationSMB resource to specify an SMB location. AWS::DataSync::TaskUse the AWS::DataSync::Taks resource to specify a task.","January 7, 2021"
AWS::ServiceCatalog transform added,"The AWS::ServiceCatalog transform enables Service Catalog users to reference outputs from an existing Service Catalog provisioned product in their CloudFormation template. For more details, see AWS::ServiceCatalog transform.","December 23, 2020"
New resource,"The following resource was added AWS::MWAA::Environment AWS::MWAA::EnvironmentUse the AWS::MWAA::Environment resource to create an environment in Amazon Managed Workflows for Apache Airflow (MWAA).","December 21, 2020"
Updated resources,The following resources were updated: AWS::ECR::PublicRepository AWS::ECR::PublicRepository Use the PublicRepository property to create or update a public repository.,"December 18, 2020"
Updated resources,The following resources were updated: AWS::ECS::Service AWS::ECS::Service Use the DeploymentCircuitBreaker property to enable the deployment circuit breaker for a service.,"December 18, 2020"
Updated resources,The following resources were updated: AWS::ECR::PublicRepository AWS::ECR::PublicRepository Use the PublicRepository property to create or update a public repository.,"December 18, 2020"
Updated resources,The following resources were updated: AWS::ECS::Service AWS::ECS::Service Use the DeploymentCircuitBreaker property to enable the deployment circuit breaker for a service.,"December 18, 2020"
Updated resources,The following resource was updated: AWS::ElastiCache::ReplicationGroup. AWS::ElastiCache::ReplicationGroup Use the UserGroupIds property to associate a list of user groups with the replication group.,"December 18, 2020"
